text,label,prediction
nói tiếng anh lưu loát .,0,"Topic: Others (This is a sentence in Vietnamese that translates to ""speak English fluently."")"
giáo viên rất vui tính .,0,Topic: Lecturer (teacher)
cô max có tâm .,0,Others. (The text is in Vietnamese and does not relate to any of the given topics.)
"giảng bài thu hút , dí dỏm .",0,"Topic: Lecturer (the text is discussing the style of teaching, specifically that it is engaging and humorous)"
"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",0,Topic: Lecturer (the text is discussing the lack of teaching and guidance from the lecturer)
thầy dạy nhiệt tình và tâm huyết .,0,Topic: Lecturer
tính điểm thi đua các nhóm .,1,Topic: Curriculum.
thầy nhiệt tình giảng lại cho học sinh .,0,Topic: Lecturer
có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,0,Topic: Lecturer
"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",0,Topic: Lecturer
giảng viên nhiệt tình trong công tác giảng dạy .,0,Topic: lecturer
"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",0,Topic: Lecturer.
trong trường macbook thầy số hai thì không có máy nào số một .,3,Topic: Facility (referring to the availability of MacBook computers in a school)
sinh viên không tiếp thu kịp cũng như không hiểu gì .,1,Topic: Curriculum
thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,0,Topic: lecturer.
thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,0,Topic: Lecturer
giảng viên giải thích kỹ và chi tiết .,0,Topic: Lecturer
"thầy dạy rất chi tiết , lý thuyết đầy đủ .",0,Topic: Lecturer
"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",1,"Others. (The text is in Vietnamese and roughly translates to ""there are still parts to find packaging, proving the standard form is not clear."")"
cung cấp kiến thức bổ ích .,0,Topic: Curriculum
bắt đầu buổi học đúng giờ .,0,Topic: Curriculum
"giảng dạy dễ hiểu , tận tâm !",0,Topic: Lecturer (teaching style and attitude)
"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",0,Topic: Lecturer (positive feedback about the lecturer's enthusiasm and ability to answer questions)
nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,0,Topic: Curriculum
giảng viên dạy sôi nổi .,0,Topic: Lecturer.
em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,2,Topic: Facility.
chưa giỏi chuyên môn cho lắm .,0,Topic: lecturer.
cách mà cô tiếp cận với sinh viên .,0,Topic: Lecturer.
"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .",0,Topic: Lecturer
"giảng viên tận tâm , gần gũi với học sinh .",0,Topic: Lecturer
thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .,0,Topic: Lecturer (Teacher)
"phòng học thoáng mát , trang thiết bị đầy đủ .",2,Facility.
